contract,sample_id,planet,measure,jhora_value_virupa,local_source_value_virupa,pyjhora_value_virupa,jhora_minus_local_virupa,jhora_minus_pyjhora_virupa,local_absolute_delta_virupa,pyjhora_absolute_delta_virupa,nearest_profile,local_pass_fail,classification,notes
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MERCURY,drik,-1.470000000,-1.470000000,-1.470000000,0.000000000,0.000000000,0.000000000,0.000000000,tie,pass,independent_drik_profile_mismatch,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,MERCURY,total,375.530000000,361.139329347,572.500000000,14.390670653,-196.970000000,14.390670653,196.970000000,local_source_profile,fail,corrected_local_source_total,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,JUPITER,sthana,232.530000000,230.031405519,232.530000000,2.498594481,0.000000000,2.498594481,0.000000000,pyjhora_secondary_profile,fail,independent_sthana_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,JUPITER,kaala,160.200000000,155.336590163,245.470000000,4.863409837,-85.270000000,4.863409837,85.270000000,local_source_profile,fail,local_source_profile_closer_requires_subcomponent_witness,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,JUPITER,dig,6.440000000,6.436743090,6.440000000,0.003256910,0.000000000,0.003256910,0.000000000,pyjhora_secondary_profile,pass,independent_dig_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,JUPITER,chesta,30.600000000,30.172621713,89.350000000,0.427378287,-58.750000000,0.427378287,58.750000000,local_source_profile,pass,mean_longitude_profile_mixed_requires_reconciliation,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,JUPITER,naisargika,34.280000000,34.290000000,34.290000000,-0.010000000,-0.010000000,0.010000000,0.010000000,tie,pass,independent_naisargika_alignment,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,JUPITER,drik,-23.680000000,-20.460000000,-20.460000000,-3.220000000,-3.220000000,3.220000000,3.220000000,tie,fail,independent_drik_profile_mismatch,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,JUPITER,total,440.370000000,435.807360484,587.620000000,4.562639516,-147.250000000,4.562639516,147.250000000,local_source_profile,fail,corrected_local_source_total,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,VENUS,sthana,191.810000000,196.810354732,191.810000000,-5.000354732,0.000000000,5.000354732,0.000000000,pyjhora_secondary_profile,fail,independent_sthana_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,VENUS,kaala,181.930000000,186.484695477,256.720000000,-4.554695477,-74.790000000,4.554695477,74.790000000,local_source_profile,fail,local_source_profile_closer_requires_subcomponent_witness,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,VENUS,dig,44.450000000,47.689022021,47.690000000,-3.239022021,-3.240000000,3.239022021,3.240000000,local_source_profile,fail,independent_dig_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,VENUS,chesta,54.000000000,24.452823182,65.940000000,29.547176818,-11.940000000,29.547176818,11.940000000,pyjhora_secondary_profile,fail,mean_longitude_profile_mixed_requires_reconciliation,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,VENUS,naisargika,42.850000000,42.860000000,42.860000000,-0.010000000,-0.010000000,0.010000000,0.010000000,tie,pass,independent_naisargika_alignment,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,VENUS,drik,-2.070000000,-2.060000000,-2.060000000,-0.010000000,-0.010000000,0.010000000,0.010000000,tie,pass,independent_drik_profile_mismatch,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,VENUS,total,512.970000000,496.236895413,627.580000000,16.733104587,-114.610000000,16.733104587,114.610000000,local_source_profile,fail,corrected_local_source_total,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,SATURN,sthana,238.340000000,231.088314103,253.340000000,7.251685897,-15.000000000,7.251685897,15.000000000,local_source_profile,fail,independent_sthana_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,SATURN,kaala,112.470000000,119.327450277,27.420000000,-6.857450277,85.050000000,6.857450277,85.050000000,local_source_profile,fail,local_source_profile_closer_requires_subcomponent_witness,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,SATURN,dig,39.320000000,39.317023468,39.320000000,0.002976532,0.000000000,0.002976532,0.000000000,pyjhora_secondary_profile,pass,independent_dig_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,SATURN,chesta,2.980000000,3.170981005,3.020000000,-0.190981005,-0.040000000,0.190981005,0.040000000,pyjhora_secondary_profile,pass,mean_longitude_profile_mixed_requires_reconciliation,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,SATURN,naisargika,8.570000000,8.570000000,8.570000000,0.000000000,0.000000000,0.000000000,0.000000000,tie,pass,independent_naisargika_alignment,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,SATURN,drik,0.270000000,0.270000000,0.270000000,0.000000000,0.000000000,0.000000000,0.000000000,tie,pass,independent_drik_profile_mismatch,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_8_event_start,SATURN,total,401.940000000,401.743768853,331.940000000,0.196231147,70.000000000,0.196231147,70.000000000,local_source_profile,pass,corrected_local_source_total,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,SUN,sthana,141.990000000,144.862431046,141.980000000,-2.872431046,0.010000000,2.872431046,0.010000000,pyjhora_secondary_profile,fail,independent_sthana_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,SUN,kaala,143.830000000,141.163964196,4.090000000,2.666035804,139.740000000,2.666035804,139.740000000,local_source_profile,fail,local_source_profile_closer_requires_subcomponent_witness,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,SUN,dig,34.030000000,30.467844702,30.470000000,3.562155298,3.560000000,3.562155298,3.560000000,pyjhora_secondary_profile,fail,independent_dig_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,SUN,chesta,34.860000000,74.476989823,0.000000000,-39.616989823,34.860000000,39.616989823,34.860000000,pyjhora_secondary_profile,fail,luminary_display_only_excluded_from_total,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,SUN,naisargika,60.000000000,60.000000000,60.000000000,0.000000000,0.000000000,0.000000000,0.000000000,tie,pass,independent_naisargika_alignment,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,SUN,drik,-6.590000000,-2.940000000,-2.940000000,-3.650000000,-3.650000000,3.650000000,3.650000000,tie,fail,independent_drik_profile_mismatch,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,SUN,total,373.250000000,373.554239944,292.660000000,-0.304239944,80.590000000,0.304239944,80.590000000,local_source_profile,pass,corrected_total_excludes_luminary_chesta,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MOON,sthana,228.940000000,218.941109993,228.940000000,9.998890007,0.000000000,9.998890007,0.000000000,pyjhora_secondary_profile,fail,independent_sthana_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MOON,kaala,111.310000000,113.723648745,331.600000000,-2.413648745,-220.290000000,2.413648745,220.290000000,local_source_profile,fail,local_source_profile_closer_requires_subcomponent_witness,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MOON,dig,50.840000000,54.395280925,54.400000000,-3.555280925,-3.560000000,3.555280925,3.560000000,local_source_profile,fail,independent_dig_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MOON,chesta,24.860000000,70.273748745,0.000000000,-45.413748745,24.860000000,45.413748745,24.860000000,pyjhora_secondary_profile,fail,luminary_display_only_excluded_from_total,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MOON,naisargika,51.430000000,51.430000000,51.430000000,0.000000000,0.000000000,0.000000000,0.000000000,tie,pass,independent_naisargika_alignment,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MOON,drik,-18.270000000,-18.270000000,-18.270000000,0.000000000,0.000000000,0.000000000,0.000000000,tie,pass,independent_drik_profile_mismatch,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MOON,total,424.250000000,420.220039664,659.300000000,4.029960336,-235.050000000,4.029960336,235.050000000,local_source_profile,fail,corrected_total_excludes_luminary_chesta,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MARS,sthana,203.730000000,191.732785781,203.730000000,11.997214219,0.000000000,11.997214219,0.000000000,pyjhora_secondary_profile,fail,independent_sthana_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MARS,kaala,117.990000000,123.982573543,88.320000000,-5.992573543,29.670000000,5.992573543,29.670000000,local_source_profile,fail,local_source_profile_closer_requires_subcomponent_witness,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MARS,dig,0.620000000,2.936938471,2.940000000,-2.316938471,-2.320000000,2.316938471,2.320000000,local_source_profile,fail,independent_dig_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MARS,chesta,39.980000000,39.949380651,80.670000000,0.030619349,-40.690000000,0.030619349,40.690000000,local_source_profile,pass,mean_longitude_profile_mixed_requires_reconciliation,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MARS,naisargika,17.140000000,17.140000000,17.140000000,0.000000000,0.000000000,0.000000000,0.000000000,tie,pass,independent_naisargika_alignment,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MARS,drik,-16.630000000,-16.620000000,-16.620000000,-0.010000000,-0.010000000,0.010000000,0.010000000,tie,pass,independent_drik_profile_mismatch,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MARS,total,362.840000000,359.121678447,376.180000000,3.718321553,-13.340000000,3.718321553,13.340000000,local_source_profile,fail,corrected_local_source_total,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MERCURY,sthana,97.200000000,107.448003196,97.200000000,-10.248003196,0.000000000,10.248003196,0.000000000,pyjhora_secondary_profile,fail,independent_sthana_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MERCURY,kaala,186.320000000,185.450841630,111.880000000,0.869158370,74.440000000,0.869158370,74.440000000,local_source_profile,fail,local_source_profile_closer_requires_subcomponent_witness,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MERCURY,dig,50.330000000,50.331166742,50.330000000,-0.001166742,0.000000000,0.001166742,0.000000000,pyjhora_secondary_profile,pass,independent_dig_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MERCURY,chesta,50.520000000,25.983284553,50.490000000,24.536715447,0.030000000,24.536715447,0.030000000,pyjhora_secondary_profile,fail,mean_longitude_profile_mixed_requires_reconciliation,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MERCURY,naisargika,25.700000000,25.710000000,25.710000000,-0.010000000,-0.010000000,0.010000000,0.010000000,tie,pass,independent_naisargika_alignment,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MERCURY,drik,-8.710000000,-0.830000000,-0.830000000,-7.880000000,-7.880000000,7.880000000,7.880000000,tie,fail,independent_drik_profile_mismatch,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,MERCURY,total,401.350000000,394.093296121,334.780000000,7.256703879,66.570000000,7.256703879,66.570000000,local_source_profile,fail,corrected_local_source_total,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,JUPITER,sthana,211.220000000,206.222580251,211.220000000,4.997419749,0.000000000,4.997419749,0.000000000,pyjhora_secondary_profile,fail,independent_sthana_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,JUPITER,kaala,177.930000000,175.132299618,207.940000000,2.797700382,-30.010000000,2.797700382,30.010000000,local_source_profile,fail,local_source_profile_closer_requires_subcomponent_witness,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,JUPITER,dig,43.330000000,43.331583145,43.330000000,-0.001583145,0.000000000,0.001583145,0.000000000,pyjhora_secondary_profile,pass,independent_dig_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,JUPITER,chesta,22.610000000,22.179230857,97.340000000,0.430769143,-74.730000000,0.430769143,74.730000000,local_source_profile,pass,mean_longitude_profile_mixed_requires_reconciliation,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,JUPITER,naisargika,34.280000000,34.290000000,34.290000000,-0.010000000,-0.010000000,0.010000000,0.010000000,tie,pass,independent_naisargika_alignment,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,JUPITER,drik,-16.300000000,-24.390000000,-24.400000000,8.090000000,8.100000000,8.090000000,8.100000000,local_source_profile,fail,independent_drik_profile_mismatch,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,JUPITER,total,473.070000000,456.765693871,569.720000000,16.304306129,-96.650000000,16.304306129,96.650000000,local_source_profile,fail,corrected_local_source_total,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,VENUS,sthana,162.810000000,168.187191835,162.810000000,-5.377191835,0.000000000,5.377191835,0.000000000,pyjhora_secondary_profile,fail,independent_sthana_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,VENUS,kaala,222.160000000,227.376361356,196.250000000,-5.216361356,25.910000000,5.216361356,25.910000000,local_source_profile,fail,local_source_profile_closer_requires_subcomponent_witness,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,VENUS,dig,19.970000000,23.523582754,23.520000000,-3.553582754,-3.550000000,3.553582754,3.550000000,pyjhora_secondary_profile,fail,independent_dig_profile_residual,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
GANN_JHORA_DOCTRINE_RECONCILIATION_V3,case_43_event_start,VENUS,chesta,53.600000000,25.948620868,53.530000000,27.651379132,0.070000000,27.651379132,0.070000000,pyjhora_secondary_profile,fail,mean_longitude_profile_mixed_requires_reconciliation,Diagnostic only. Luminary totals exclude displayed Chesta; no tolerance widening and no execution authorization.
