gate,sample_id,feature_key,local_value,external_expected_value,external_source,pass_fail,notes
Gate 3,case_8_event_start,drik_bala_virupa.MERCURY,-1.470000000,-1.470000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_8_event_start,shadbala_implemented_total_virupa.JUPITER,407.490902978,587.620000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_8_event_start,drik_bala_virupa.JUPITER,-20.460000000,-20.460000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_8_event_start,shadbala_implemented_total_virupa.VENUS,626.457560392,627.580000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_8_event_start,drik_bala_virupa.VENUS,-2.060000000,-2.060000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_8_event_start,shadbala_implemented_total_virupa.SATURN,628.422286965,331.940000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_8_event_start,drik_bala_virupa.SATURN,0.270000000,0.270000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_43_event_start,sun_sidereal_lon_deg,351.587295526,351.592819161,PyJHora 4.8.6 Tier B automated check; Raman ayanamsa; true node; event timezone,pass,External value from PyJHora drik.sidereal_longitude with RAMAN mode. | numeric delta=0.005523635; tolerance=0.02
Gate 3,case_43_event_start,moon_sidereal_lon_deg,66.176779716,66.176811787,PyJHora 4.8.6 Tier B automated check; Raman ayanamsa; true node; event timezone,pass,External value from PyJHora drik.sidereal_longitude with RAMAN mode. | numeric delta=0.000032071; tolerance=0.02
Gate 3,case_43_event_start,rahu_true_node_sidereal_lon_deg,334.534898714,334.534730120,PyJHora 4.8.6 Tier B automated check; Raman ayanamsa; true node; event timezone,pass,External value from PyJHora drik.sidereal_longitude with RAMAN mode and true node. | numeric delta=0.000168594; tolerance=0.02
Gate 3,case_43_event_start,tithi_name,Saptami,Saptami,PyJHora 4.8.6 Tier B automated check; RAMAN mode; tithi index normalized to project label,pass,External value from PyJHora drik.tithi index 7 normalized to Saptami. | categorical exact compare
Gate 3,case_43_event_start,moon_nakshatra_pada,Mrigashira 4,Mrigashira 4,PyJHora 4.8.6 Tier B automated check; RAMAN mode; nakshatra index normalized to project label,pass,External value from PyJHora drik.nakshatra index 5 pada 4 normalized to Mrigashira 4. | categorical exact compare
Gate 3,case_43_event_start,shadbala_implemented_total_virupa.SUN,507.367658482,292.660000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_43_event_start,drik_bala_virupa.SUN,-2.940000000,-2.940000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_43_event_start,shadbala_implemented_total_virupa.MOON,419.398936505,659.300000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_43_event_start,drik_bala_virupa.MOON,-18.270000000,-18.270000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_43_event_start,shadbala_implemented_total_virupa.MARS,304.475666861,376.180000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_43_event_start,drik_bala_virupa.MARS,-16.620000000,-16.620000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_43_event_start,shadbala_implemented_total_virupa.MERCURY,387.829111631,334.780000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_43_event_start,drik_bala_virupa.MERCURY,-0.830000000,-0.830000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_43_event_start,shadbala_implemented_total_virupa.JUPITER,433.928392616,569.720000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_43_event_start,drik_bala_virupa.JUPITER,-24.390000000,-24.400000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_43_event_start,shadbala_implemented_total_virupa.VENUS,571.120438064,478.280000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_43_event_start,drik_bala_virupa.VENUS,-0.690000000,-0.690000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_43_event_start,shadbala_implemented_total_virupa.SATURN,262.957282031,292.530000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_43_event_start,drik_bala_virupa.SATURN,-0.500000000,-0.500000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_103_event_start,sun_sidereal_lon_deg,32.342266392,32.347760172,PyJHora 4.8.6 Tier B automated check; Raman ayanamsa; true node; event timezone,pass,External value from PyJHora drik.sidereal_longitude with RAMAN mode. | numeric delta=0.005493780; tolerance=0.02
Gate 3,case_103_event_start,moon_sidereal_lon_deg,245.719064875,245.719119793,PyJHora 4.8.6 Tier B automated check; Raman ayanamsa; true node; event timezone,pass,External value from PyJHora drik.sidereal_longitude with RAMAN mode. | numeric delta=0.000054918; tolerance=0.02
Gate 3,case_103_event_start,rahu_true_node_sidereal_lon_deg,332.669628041,332.669493648,PyJHora 4.8.6 Tier B automated check; Raman ayanamsa; true node; event timezone,pass,External value from PyJHora drik.sidereal_longitude with RAMAN mode and true node. | numeric delta=0.000134393; tolerance=0.02
Gate 3,case_103_event_start,tithi_name,Tritiya,Tritiya,PyJHora 4.8.6 Tier B automated check; RAMAN mode; tithi index normalized to project label,pass,External value from PyJHora drik.tithi index 18 normalized to Tritiya. | categorical exact compare
Gate 3,case_103_event_start,moon_nakshatra_pada,Mula 2,Mula 2,PyJHora 4.8.6 Tier B automated check; RAMAN mode; nakshatra index normalized to project label,pass,External value from PyJHora drik.nakshatra index 19 pada 2 normalized to Mula 2. | categorical exact compare
Gate 3,case_103_event_start,shadbala_implemented_total_virupa.SUN,542.123899234,341.210000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_103_event_start,drik_bala_virupa.SUN,-4.430000000,-4.430000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_103_event_start,shadbala_implemented_total_virupa.MOON,604.650975660,368.580000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_103_event_start,drik_bala_virupa.MOON,10.360000000,10.360000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_103_event_start,shadbala_implemented_total_virupa.MARS,356.250362685,327.040000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_103_event_start,drik_bala_virupa.MARS,-1.730000000,-1.730000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_103_event_start,shadbala_implemented_total_virupa.MERCURY,388.403345244,435.220000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_103_event_start,drik_bala_virupa.MERCURY,-10.250000000,-10.250000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_103_event_start,shadbala_implemented_total_virupa.JUPITER,493.356751143,550.180000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_103_event_start,drik_bala_virupa.JUPITER,-25.110000000,-25.110000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_103_event_start,shadbala_implemented_total_virupa.VENUS,583.735933046,487.410000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_103_event_start,drik_bala_virupa.VENUS,-19.540000000,-19.540000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_103_event_start,shadbala_implemented_total_virupa.SATURN,340.082054925,316.250000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_103_event_start,drik_bala_virupa.SATURN,-20.930000000,-20.930000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
Gate 3,case_127_sr_touch_start,sun_sidereal_lon_deg,44.827534764,44.832851078,PyJHora 4.8.6 Tier B automated check; Raman ayanamsa; true node; event timezone,pass,External value from PyJHora drik.sidereal_longitude with RAMAN mode. | numeric delta=0.005316314; tolerance=0.02
Gate 3,case_127_sr_touch_start,moon_sidereal_lon_deg,66.595833426,66.595737946,PyJHora 4.8.6 Tier B automated check; Raman ayanamsa; true node; event timezone,pass,External value from PyJHora drik.sidereal_longitude with RAMAN mode. | numeric delta=0.000095480; tolerance=0.02
Gate 3,case_127_sr_touch_start,rahu_true_node_sidereal_lon_deg,331.622625868,331.622323551,PyJHora 4.8.6 Tier B automated check; Raman ayanamsa; true node; event timezone,pass,External value from PyJHora drik.sidereal_longitude with RAMAN mode and true node. | numeric delta=0.000302317; tolerance=0.02
Gate 3,case_127_sr_touch_start,tithi_name,Dvitiya,Dvitiya,PyJHora 4.8.6 Tier B automated check; RAMAN mode; tithi index normalized to project label,pass,External value from PyJHora drik.tithi index 2 normalized to Dvitiya. | categorical exact compare
Gate 3,case_127_sr_touch_start,moon_nakshatra_pada,Mrigashira 4,Mrigashira 4,PyJHora 4.8.6 Tier B automated check; RAMAN mode; nakshatra index normalized to project label,pass,External value from PyJHora drik.nakshatra index 5 pada 4 normalized to Mrigashira 4. | categorical exact compare
Gate 3,case_127_sr_touch_start,shadbala_implemented_total_virupa.SUN,479.319463850,391.690000000,PyJHora 4.8.7 Tier B isolated export; Raman ayanamsa; wheel sha256 D8D8014573A38DDEFEDCAE57D3B8D84687CAC2AD31BB5B1DD70D945906A4D54D; event civil timezone; Tokyo reference coordinates,pending_gate_comparison,Local strict-v4 value at Tokyo reference location; Raman ayanamsa; true node; Porphyry houses. Fill a planet-matched JHora export value and saved evidence path. | Independent PyJHora Raman-mode export; shad_bala()[6] total or private _drik_bala() value.
